Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Jalisco,2022,1,Mujeres,282124,1555679,18.135103710000000000000
M xico,2022,1,Hombres,718077,4547285,15.791334830000000000000
M xico,2022,1,Mujeres,391107,2987010,13.093595270000000000000
Michoac n,2022,1,Hombres,143025,1327601,10.773191640000000000000
Michoac n,2022,1,Mujeres,87006,840426,10.352606890000000000000
Morelos,2022,1,Hombres,71278,496848,14.346037420000000000000
Morelos,2022,1,Mujeres,35082,336469,10.426517750000000000000
Nayarit,2022,1,Hombres,26371,349694,7.5411645610000000000000
Nayarit,2022,1,Mujeres,20229,245361,8.2445865480000000000000
Nuevo Le n,2022,1,Hombres,482418,1702601,28.334178120000000000000
Nuevo Le n,2022,1,Mujeres,212308,1034214,20.528439960000000000000
Oaxaca,2022,1,Hombres,89243,1049087,8.5067301380000000000000
Oaxaca,2022,1,Mujeres,137213,805721,17.029840350000000000000
Puebla,2022,1,Hombres,320843,1778065,18.044503430000000000000
Puebla,2022,1,Mujeres,179545,1151959,15.586058180000000000000
Quer taro,2022,1,Hombres,166204,618671,26.864682520000000000000
Quer taro,2022,1,Mujeres,84946,396400,21.429364280000000000000
Quintana Roo,2022,1,Hombres,29000,561180,5.1676823840000000000000
Quintana Roo,2022,1,Mujeres,17556,350473,5.0092303830000000000000
San Luis Potos ,2022,1,Hombres,173228,761063,22.761321990000000000000
San Luis Potos ,2022,1,Mujeres,115655,490579,23.575203990000000000000
Sinaloa,2022,1,Hombres,79284,829897,9.5534747080000000000000
Sinaloa,2022,1,Mujeres,52651,506835,10.38819340000000000000
Sonora,2022,1,Hombres,158317,828797,19.102023780000000000000
Sonora,2022,1,Mujeres,120735,549549,21.969833450000000000000
Tabasco,2022,1,Hombres,47699,624502,7.6379258990000000000000
Tabasco,2022,1,Mujeres,29753,350785,8.4818336020000000000000
Tamaulipas,2022,1,Hombres,237733,953568,24.930891140000000000000
Tamaulipas,2022,1,Mujeres,148943,624871,23.835799710000000000000
Tlaxcala,2022,1,Hombres,78609,352261,22.31555580000000000000
Tlaxcala,2022,1,Mujeres,63801,241052,26.46773310000000000000
Veracruz,2022,1,Hombres,185815,2020105,9.1982842480000000000000
Veracruz,2022,1,Mujeres,107640,1190733,9.0398099320000000000000
Yucat n,2022,1,Hombres,101992,691397,14.751582670000000000000
Yucat n,2022,1,Mujeres,82759,478943,17.279509250000000000000
Zacatecas,2022,1,Hombres,44105,402326,10.962503040000000000000
Zacatecas,2022,1,Mujeres,39472,255761,15.43315830000000000000
